airport_code
KZN
KZN
MRV
KZN
OVB
KZN
NBC
TGK
UUA
KGD
KZN
NBC
EGO
AER
ASF
CEK
DME
EGO
LED
SVX
KZN
NBC
UUA
ASF
DME
GYD
LED
SVX
SVX
UUA
SVX
CEK
SVX
KZN
NBC
NJC
NUX
OVB
DME
DME
LED
NJC
IKT
OVB
OVB
IKT
BTK
HTA
KCK
ODO
OVB
UKX
ULK
YKS
IKT
OVB
IKT
BTK
CEK
IKT
IKT
IKT
IKT
LIM
LIM
PEM
LIM
PCL
TPP
AYP
CUZ
HUU
PCL
TPP
IQT
LIM
TPP
CUZ
IQT
LIM
PCL
BOY
OUA
OUA
ABJ
DKR
OUA
ABJ
OUA
LFW
OUA
BKO
OUA
OUA
OUA
ABJ
ACC
BKO
BOY
COO
DKR
LFW
NIM
GYE
UIO
GYE
BOG
CLO
SCY
UIO
UIO
GYE
BOG
GYE
OCC
ZRH
ZRH
ZRH
LPA
ZRH
ZRH
ZRH
GVA
BDS
BOD
BRS
LCA
LPA
RMF
LYC
GEV
HAD
JKG
KRF
KSD
LYC
MHQ
OER
POR
TRF
VBY
VHM
VXO
ARN
KRF
ARN
JKG
VXO
VHM
ARN
HAD
POR
ARN
GEV
ARN
AJR
ARN
ARN
TKU
ARN
VXO
ARN
KOK
MHQ
ARN
ARN
ARN
HMV
ARN
OSL
AOS
KKB
KLN
KOZ
OLH
KZB
SYB
KYK
ORI
KPR
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
BSO
BXU
CBO
CGY
CRM
DGT
DWC
GES
KLO
LGP
MPH
OZC
PPS
RXS
SUG
TUG
ZAM
MNL
MNL
MNL
MNL
MNL
MNL
MNL
PMW
BSB
SSA
BRA
OPS
RAO
GRU
GYN
OPS
DOU
CGR
GRU
RAO
CAC
DOU
RAO
UBA
UDI
VDC
CGB
PMW
RAO
UDI
BSB
CGB
RAO
AUX
GYN
BSB
GIG
GRU
GYN
PLU
SJP
UDI
RAO
BRA
VDC
