airport_code
AER
ASF
ASF
CEK
CEK
DME
DME
DME
DME
EGO
EGO
GYD
KGD
KZN
KZN
KZN
KZN
KZN
KZN
KZN
LED
LED
LED
MRV
NBC
NBC
NBC
NBC
NJC
NJC
NUX
OVB
OVB
SVX
SVX
SVX
SVX
SVX
TGK
UUA
UUA
UUA
BTK
BTK
CEK
HTA
IKT
IKT
IKT
IKT
IKT
IKT
IKT
IKT
KCK
MJZ
ODO
OVB
OVB
OVB
UKX
ULK
YKS
AYP
CUZ
CUZ
HUU
IQT
IQT
LIM
LIM
LIM
LIM
LIM
PCL
PCL
PCL
PEM
TPP
TPP
TPP
ABJ
ABJ
ACC
BKO
BKO
BKO
BOY
BOY
COO
COO
DKR
DKR
LFW
NIM
OUA
OUA
OUA
OUA
OUA
OUA
OUA
OUA
BOG
BOG
CLO
GYE
GYE
GYE
GYE
OCC
SCY
UIO
UIO
UIO
BDS
BOD
BRS
GVA
LCA
LPA
RMF
TFS
ZRH
ZRH
ZRH
ZRH
ZRH
ZRH
AJR
ARN
ARN
ARN
ARN
ARN
ARN
ARN
ARN
ARN
ARN
ARN
ARN
ARN
GEV
GEV
HAD
HAD
HAD
HMV
JKG
JKG
KOK
KRF
KRF
KSD
LYC
LYC
MHQ
MHQ
OER
OSL
POR
POR
TKU
TRF
VBY
VHM
VHM
VXO
VXO
ADQ
ADQ
ADQ
ADQ
ADQ
AOS
KKB
KLN
KOZ
SYB
BSO
BXU
CBO
CGY
CRM
DGT
DWC
GES
KLO
LGP
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MNL
MPH
OZC
PPS
RXS
SUG
TUG
ZAM
AUX
BRA
BRA
BSB
BSB
BSB
CAC
CGB
CGB
CGR
DOU
DOU
GIG
GRU
GRU
GRU
GRU
GRU
GRU
GYN
GYN
GYN
GYN
OPS
OPS
PLU
PMW
PMW
RAO
RAO
RAO
RAO
RAO
RAO
RAO
SJP
SSA
SSA
UBA
UBA
UDI
UDI
UDI
UDI
VDC
VDC
BRL
BRL
DEC
DEC
JBR
ORD
ORD
STL
STL
STL
CGA
CGA
HYL
HYL
HYL
KTB
KTB
KTN
KTN
KTN
KTN
MTM
ACC
ACC
ACC
BCN
BJL
BJL
BJL
CKY
DKR
DKR
DKR
DKR
DKR
DKR
DLA
DLA
FNA
FNA
FNA
FNA
LGW
LOS
LOS
LOS
LOS
OXB
OXB
ROB
ROB
ROB
AKV
AKV
XGR
YGL
YGL
YGL
YGW
YGW
YGW
YGW
YGW
YGW
YIK
YIK
YKG
YKG
YKG
YKL
YKL
YKL
YKL
YPH
YPH
YPH
YPJ
YPJ
YPJ
YPX
YPX
YPX
YPX
YQB
YQB
YQC
YQC
YSK
YSK
YTQ
YTQ
YUD
YUD
YUD
YUL
YUL
YUL
YUL
YUY
YUY
YVP
YVP
YVP
YVP
YVP
YVP
YVP
