airport_code,lat,lng
BAV,0.000000,0.000000
BAX,53.364000,83.542000
BAY,47.658000,23.470000
BBA,-45.916000,-71.689000
BBG,0.000000,0.000000
BBI,20.244000,85.818000
BBJ,51.193000,14.520000
BBK,-17.833000,25.162000
BBN,0.000000,0.000000
BBO,10.389000,44.941000
BBS,51.324000,-0.848000
BBT,4.221000,15.786000
BBU,44.503000,26.102000
BBV,0.000000,0.000000
BBY,5.847000,20.649000
BCA,20.366000,-74.506000
BCD,10.643000,122.929000
BCM,46.522000,26.910000
BCN,41.297000,2.078000
BCO,0.000000,0.000000
BCT,26.378000,-80.107000
BCY,0.000000,0.000000
BDE,48.728000,-94.612000
BDH,26.532000,54.822000
BDI,0.000000,0.000000
BDJ,-3.442000,114.761000
BDK,0.000000,0.000000
BDL,41.939000,-72.683000
BDM,40.318000,27.977000
BDN,24.841000,68.838000
BDO,-6.901000,107.576000
BDQ,22.336000,73.226000
BDR,41.163000,-73.126000
BDS,0.000000,0.000000
BDS,40.657000,17.947000
BDT,4.253000,20.975000
BDU,69.056000,18.540000
BEB,57.481000,-7.363000
BED,42.470000,-71.289000
BEF,11.989000,-83.774000
BEG,44.818000,20.309000
BEI,0.000000,0.000000
BEL,-1.379000,-48.476000
BEM,0.000000,0.000000
BEN,32.097000,20.269000
BEP,0.000000,0.000000
BEQ,52.343000,0.773000
BES,48.448000,-4.418000
BET,60.780000,-161.838000
BEV,31.287000,34.723000
BEW,-19.796000,34.907000
BEY,33.813000,35.489000
BEZ,0.000000,0.000000
BFH,-25.405000,-49.232000
BFI,47.530000,-122.302000
BFL,35.433000,-119.057000
BFM,30.626000,-88.068000
BFN,-29.092000,26.302000
BFO,-21.008000,31.578000
BFS,54.657000,-6.216000
BFX,5.537000,10.354000
BGA,7.126000,-73.185000
BGB,0.000000,0.000000
BGC,41.868000,-6.712000
BGF,4.398000,18.519000
BGH,0.000000,0.000000
BGI,13.074000,-59.492000
BGN,51.200000,6.132000
BGO,60.293000,5.218000
BGR,44.807000,-68.828000
BGU,4.784000,22.781000
BGX,-31.390000,-54.112000
BGY,45.674000,9.704000
BHD,54.618000,-5.873000
BHE,0.000000,0.000000
BHE,-41.518000,173.870000
BHH,19.984000,42.623000
BHI,-38.725000,-62.169000
BHJ,23.288000,69.670000
BHK,39.775000,64.480000
BHM,33.563000,-86.753000
BHN,0.000000,0.000000
BHO,23.285000,77.337000
BHU,21.752000,72.185000
BHX,52.454000,-1.748000
BHY,0.000000,0.000000
BIA,42.554000,9.483000
BIF,31.849000,-106.380000
BIG,63.994000,-145.721000
BIK,-1.190000,136.108000
BIM,25.700000,-79.264000
BIM,0.000000,0.000000
BIO,43.301000,-2.911000
BIQ,43.468000,-1.523000
BIR,26.483000,87.264000
BIV,6.528000,21.989000
BIX,30.411000,-88.924000
